time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:21:49.213204,60247,1715714509,213020548,map,70.2162953200656,-14.882330600379454,-2.895322322845459,0.001209142246223497,0.013397594600170606,-0.1504616305247374,0.9885243245230716
2024/05/14/15:21:49.233495,60248,1715714509,233126805,map,70.28540057344001,-14.903968482827505,-2.895322322845459,0.0012093009444333635,0.01339758027659904,-0.15047333986419922,0.9885225421931819
2024/05/14/15:21:49.253348,60249,1715714509,253107261,map,70.35444282830058,-14.925581911230315,-2.895322322845459,0.001209452589164365,0.013397566587880301,-0.15048452876393648,0.9885208389491109
2024/05/14/15:21:49.273908,60250,1715714509,273649779,map,70.42419272937505,-14.947528061636978,-2.9262185096740723,0.0013484740167252886,0.011047061604804863,-0.1505205366554067,0.9885442388141739
2024/05/14/15:21:49.294212,60251,1715714509,294028883,map,70.4937437949475,-14.969397645638605,-2.9262185096740723,0.0013486947524890538,0.01104703465816712,-0.15054028914792847,0.9885412310020175
2024/05/14/15:21:49.313968,60252,1715714509,313700443,map,70.56317664907756,-14.991218805468018,-2.9262185096740723,0.001348899844853376,0.01104700961720825,-0.15055864178352127,0.9885384359912504
2024/05/14/15:21:49.334338,60253,1715714509,334142401,map,70.63252688247503,-15.013004386596204,-2.9262185096740723,0.0013490934255137217,0.011046985978237354,-0.15057596428791062,0.988535797544273
2024/05/14/15:21:49.353528,60254,1715714509,353193191,map,70.70210676014837,-15.03509398464121,-2.9661548137664795,0.0008132704114202639,0.00985508520134645,-0.15060565351790053,0.9885444618303004
2024/05/14/15:21:49.373729,60255,1715714509,373516033,map,70.77129178307935,-15.057032545972543,-2.9661548137664795,0.0008135016870950286,0.009855066113070122,-0.15062885231278142,0.9885409271941382
2024/05/14/15:21:49.394154,60256,1715714509,393902202,map,70.84045010271107,-15.078940399508781,-2.9661548137664795,0.0008137465204046321,0.009855045899863624,-0.15065341100515084,0.9885371847530193
2024/05/14/15:21:49.413874,60257,1715714509,413638492,map,70.90956913780079,-15.10081578096204,-2.9661548137664795,0.0008139777127725033,0.009855026807218696,-0.15067660136545988,0.9885336502557038
2024/05/14/15:21:49.433905,60258,1715714509,433698910,map,70.97864766193462,-15.122660787285719,-2.9661548137664795,0.0008141949468031749,0.009855008862324257,-0.1506983915633182,0.9885303286531684
2024/05/14/15:21:49.453767,60259,1715714509,453502296,map,71.04764654599636,-15.14467506097521,-2.988637685775757,7.41478631144433e-05,0.0096911917723967,-0.1507266983253155,0.9885279650652654
2024/05/14/15:21:49.473233,60260,1715714509,473032802,map,71.11675953559839,-15.166695697042735,-2.988637685775757,7.451136033967474e-05,0.009691188984441192,-0.15076377593195614,0.988522310912032
2024/05/14/15:21:49.493211,60261,1715714509,493011927,map,71.185803984563,-15.18866737542437,-2.988637685775757,7.482063544511056e-05,0.009691186601623433,-0.1507953225910832,0.9885174990807074
2024/05/14/15:21:49.513798,60262,1715714509,513570651,map,71.25480034471964,-15.210600614337498,-2.988637685775757,7.510685404533697e-05,0.009691184387650941,-0.15082451731216587,0.9885130450741039
2024/05/14/15:21:49.533331,60263,1715714509,533098766,map,71.32375914771737,-15.232501535483415,-2.988637685775757,7.537446250935288e-05,0.009691182309985473,-0.15085181365883596,0.9885088798892829
2024/05/14/15:21:49.553541,60264,1715714509,553313721,map,71.39339003414113,-15.254591658008007,-3.004087448120117,-0.00013208358157821057,0.00952416851668633,-0.15087844367500397,0.9885064329594431
2024/05/14/15:21:49.573326,60265,1715714509,573074035,map,71.46401045820497,-15.276964303374509,-3.004087448120117,-0.0001318333369676437,0.009524171983853798,-0.15090441632194282,0.9885024683340587
