time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/05/14/15:48:01.766117,139881,1715716081,766017399,gps,0,0,34.81437020573583,-82.32601659292915,276.09477495308965,"(3.812631871797066, 0.0, 0.0, 0.0, 4.102773151322481, 0.0, 0.0, 0.0, 10.765723827489694)",2
2024/05/14/15:48:01.784041,139882,1715716081,783952123,gps,0,0,34.81437020573583,-82.32601659292915,276.09477495308965,"(3.812631871797066, 0.0, 0.0, 0.0, 4.102773151322481, 0.0, 0.0, 0.0, 10.765723827489694)",2
2024/05/14/15:48:01.807507,139883,1715716081,807414961,gps,0,0,34.81437020573583,-82.32601659292915,276.09477495308965,"(3.812631871797066, 0.0, 0.0, 0.0, 4.102773151322481, 0.0, 0.0, 0.0, 10.765723827489694)",2
2024/05/14/15:48:01.825309,139884,1715716081,825199033,gps,0,0,34.81437020573583,-82.32601659292915,276.09477495308965,"(3.812631871797066, 0.0, 0.0, 0.0, 4.102773151322481, 0.0, 0.0, 0.0, 10.765723827489694)",2
2024/05/14/15:48:01.902340,139885,1715716081,902191751,gps,0,0,34.81437020573583,-82.32601659292915,276.09477495308965,"(3.812631871797066, 0.0, 0.0, 0.0, 4.102773151322481, 0.0, 0.0, 0.0, 10.765723827489694)",2
2024/05/14/15:48:01.942300,139886,1715716081,942121613,gps,0,0,34.81437152615314,-82.32602069547933,275.8435378111899,"(3.3791991517444018, 0.0, 0.0, 0.0, 4.0141965722205555, 0.0, 0.0, 0.0, 10.471363099935843)",2
2024/05/14/15:48:01.967323,139887,1715716081,967182453,gps,0,0,34.81437152615314,-82.32602069547933,275.8435378111899,"(3.3791991517444018, 0.0, 0.0, 0.0, 4.0141965722205555, 0.0, 0.0, 0.0, 10.471363099935843)",2
2024/05/14/15:48:01.976393,139888,1715716081,976291556,gps,0,0,34.81437152615314,-82.32602069547933,275.8435378111899,"(3.3791991517444018, 0.0, 0.0, 0.0, 4.0141965722205555, 0.0, 0.0, 0.0, 10.471363099935843)",2
2024/05/14/15:48:01.986090,139889,1715716081,985977159,gps,0,0,34.81437152615314,-82.32602069547933,275.8435378111899,"(3.3791991517444018, 0.0, 0.0, 0.0, 4.0141965722205555, 0.0, 0.0, 0.0, 10.471363099935843)",2
2024/05/14/15:48:01.994893,139890,1715716081,994768945,gps,0,0,34.81437152615314,-82.32602069547933,275.8435378111899,"(3.3791991517444018, 0.0, 0.0, 0.0, 4.0141965722205555, 0.0, 0.0, 0.0, 10.471363099935843)",2
2024/05/14/15:48:02.007605,139891,1715716082,7503171,gps,0,0,34.814371703765794,-82.32602022614103,275.91428807284683,"(3.364616406790674, 0.0, 0.0, 0.0, 3.994816553088242, 0.0, 0.0, 0.0, 10.488057515470302)",2
2024/05/14/15:48:02.011517,139892,1715716082,11389004,gps,0,0,34.814371703765794,-82.32602022614103,275.91428807284683,"(3.364616406790674, 0.0, 0.0, 0.0, 3.994816553088242, 0.0, 0.0, 0.0, 10.488057515470302)",2
2024/05/14/15:48:02.016240,139893,1715716082,16089764,gps,0,0,34.814371703765794,-82.32602022614103,275.91428807284683,"(3.364616406790674, 0.0, 0.0, 0.0, 3.994816553088242, 0.0, 0.0, 0.0, 10.488057515470302)",2
2024/05/14/15:48:02.034219,139894,1715716082,34040418,gps,0,0,34.814371703765794,-82.32602022614103,275.91428807284683,"(3.364616406790674, 0.0, 0.0, 0.0, 3.994816553088242, 0.0, 0.0, 0.0, 10.488057515470302)",2
2024/05/14/15:48:02.055298,139895,1715716082,55155323,gps,0,0,34.814371703765794,-82.32602022614103,275.91428807284683,"(3.364616406790674, 0.0, 0.0, 0.0, 3.994816553088242, 0.0, 0.0, 0.0, 10.488057515470302)",2
2024/05/14/15:48:02.067281,139896,1715716082,67168098,gps,0,0,34.81436949287635,-82.3260178011213,276.4752537831664,"(3.3623063964512454, 0.0, 0.0, 0.0, 3.974812230127611, 0.0, 0.0, 0.0, 10.380161730977818)",2
2024/05/14/15:48:02.084438,139897,1715716082,84244085,gps,0,0,34.81436949287635,-82.3260178011213,276.4752537831664,"(3.3623063964512454, 0.0, 0.0, 0.0, 3.974812230127611, 0.0, 0.0, 0.0, 10.380161730977818)",2
2024/05/14/15:48:02.107011,139898,1715716082,106869827,gps,0,0,34.81436949287635,-82.3260178011213,276.4752537831664,"(3.3623063964512454, 0.0, 0.0, 0.0, 3.974812230127611, 0.0, 0.0, 0.0, 10.380161730977818)",2
2024/05/14/15:48:02.126014,139899,1715716082,125888537,gps,0,0,34.81436949287635,-82.3260178011213,276.4752537831664,"(3.3623063964512454, 0.0, 0.0, 0.0, 3.974812230127611, 0.0, 0.0, 0.0, 10.380161730977818)",2
2024/05/14/15:48:02.148273,139900,1715716082,148128610,gps,0,0,34.81436949287635,-82.3260178011213,276.4752537831664,"(3.3623063964512454, 0.0, 0.0, 0.0, 3.974812230127611, 0.0, 0.0, 0.0, 10.380161730977818)",2
2024/05/14/15:48:02.166705,139901,1715716082,166604872,gps,0,0,34.81436928459113,-82.3260181348656,276.5202051848173,"(3.379227639698513, 0.0, 0.0, 0.0, 3.959225194992598, 0.0, 0.0, 0.0, 10.276871204679594)",2
2024/05/14/15:48:02.185204,139902,1715716082,185023296,gps,0,0,34.81436928459113,-82.3260181348656,276.5202051848173,"(3.379227639698513, 0.0, 0.0, 0.0, 3.959225194992598, 0.0, 0.0, 0.0, 10.276871204679594)",2
2024/05/14/15:48:02.204512,139903,1715716082,204336076,gps,0,0,34.81436928459113,-82.3260181348656,276.5202051848173,"(3.379227639698513, 0.0, 0.0, 0.0, 3.959225194992598, 0.0, 0.0, 0.0, 10.276871204679594)",2
2024/05/14/15:48:02.226214,139904,1715716082,226081368,gps,0,0,34.81436928459113,-82.3260181348656,276.5202051848173,"(3.379227639698513, 0.0, 0.0, 0.0, 3.959225194992598, 0.0, 0.0, 0.0, 10.276871204679594)",2
2024/05/14/15:48:02.249603,139905,1715716082,249480750,gps,0,0,34.81436928459113,-82.3260181348656,276.5202051848173,"(3.379227639698513, 0.0, 0.0, 0.0, 3.959225194992598, 0.0, 0.0, 0.0, 10.276871204679594)",2
2024/05/14/15:48:02.264782,139906,1715716082,264637234,gps,0,0,34.81436830666934,-82.32601526983143,276.9134776368737,"(3.363344775410951, 0.0, 0.0, 0.0, 3.9423384499443728, 0.0, 0.0, 0.0, 10.18704465437446)",2
2024/05/14/15:48:02.285778,139907,1715716082,285612133,gps,0,0,34.81436830666934,-82.32601526983143,276.9134776368737,"(3.363344775410951, 0.0, 0.0, 0.0, 3.9423384499443728, 0.0, 0.0, 0.0, 10.18704465437446)",2
2024/05/14/15:48:02.304911,139908,1715716082,304730230,gps,0,0,34.81436830666934,-82.32601526983143,276.9134776368737,"(3.363344775410951, 0.0, 0.0, 0.0, 3.9423384499443728, 0.0, 0.0, 0.0, 10.18704465437446)",2
2024/05/14/15:48:02.324368,139909,1715716082,324226546,gps,0,0,34.81436830666934,-82.32601526983143,276.9134776368737,"(3.363344775410951, 0.0, 0.0, 0.0, 3.9423384499443728, 0.0, 0.0, 0.0, 10.18704465437446)",2
2024/05/14/15:48:02.354797,139910,1715716082,354681809,gps,0,0,34.81436830666934,-82.32601526983143,276.9134776368737,"(3.363344775410951, 0.0, 0.0, 0.0, 3.9423384499443728, 0.0, 0.0, 0.0, 10.18704465437446)",2
