time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:47:21.936047,119558,1715716041,935773229,,0.25200000405311584
2024/05/14/15:47:21.946242,119559,1715716041,945793439,,0.25200000405311584
2024/05/14/15:47:21.964042,119560,1715716041,955771227,,0.25200000405311584
2024/05/14/15:47:21.966100,119561,1715716041,965805623,,0.25200000405311584
2024/05/14/15:47:21.976277,119562,1715716041,975820936,,0.25200000405311584
2024/05/14/15:47:21.986215,119563,1715716041,985850460,,0.25200000405311584
2024/05/14/15:47:21.996101,119564,1715716041,995766259,,0.25200000405311584
2024/05/14/15:47:22.006292,119565,1715716042,5769755,,0.25200000405311584
2024/05/14/15:47:22.016103,119566,1715716042,15842007,,0.25200000405311584
2024/05/14/15:47:22.026106,119567,1715716042,25768891,,0.25200000405311584
2024/05/14/15:47:22.036099,119568,1715716042,35795070,,0.25200000405311584
2024/05/14/15:47:22.046123,119569,1715716042,45791650,,0.25200000405311584
2024/05/14/15:47:22.059402,119570,1715716042,55826068,,0.25200000405311584
2024/05/14/15:47:22.066782,119571,1715716042,65801447,,0.25200000405311584
2024/05/14/15:47:22.076218,119572,1715716042,75821567,,0.25200000405311584
2024/05/14/15:47:22.086289,119573,1715716042,85794111,,0.25200000405311584
2024/05/14/15:47:22.096153,119574,1715716042,95792522,,0.25200000405311584
2024/05/14/15:47:22.106781,119575,1715716042,105788771,,0.25200000405311584
2024/05/14/15:47:22.116155,119576,1715716042,115795016,,0.25200000405311584
2024/05/14/15:47:22.126256,119577,1715716042,125811936,,0.25200000405311584
2024/05/14/15:47:22.136063,119578,1715716042,135815177,,0.25200000405311584
2024/05/14/15:47:22.146209,119579,1715716042,145834121,,0.25200000405311584
2024/05/14/15:47:22.159775,119580,1715716042,155833837,,0.25200000405311584
2024/05/14/15:47:22.166123,119581,1715716042,165828723,,0.25200000405311584
2024/05/14/15:47:22.176153,119582,1715716042,175806209,,0.25200000405311584
2024/05/14/15:47:22.186273,119583,1715716042,185809289,,0.25200000405311584
2024/05/14/15:47:22.196129,119584,1715716042,195805907,,0.25200000405311584
2024/05/14/15:47:22.206551,119585,1715716042,205868129,,0.25200000405311584
2024/05/14/15:47:22.216146,119586,1715716042,215813053,,0.25200000405311584
2024/05/14/15:47:22.226496,119587,1715716042,225832123,,0.25200000405311584
2024/05/14/15:47:22.236219,119588,1715716042,235835957,,0.25200000405311584
2024/05/14/15:47:22.246194,119589,1715716042,245833816,,0.25200000405311584
2024/05/14/15:47:22.257306,119590,1715716042,255842490,,0.25200000405311584
2024/05/14/15:47:22.266156,119591,1715716042,265831062,,0.25200000405311584
2024/05/14/15:47:22.276128,119592,1715716042,275828365,,0.25200000405311584
